Compound,Formula,KEGG_ID,Weight,PLF,PNC,PNE,Palsa_T0,I_Palsa_C1,I_Palsa_C2,I_Palsa_N1,I_Palsa_N2,I_Palsa_E2,I_Palsa_E1,II_Palsa_C1,II_Palsa_C2,II_Palsa_N1,II_Palsa_N2,II_Palsa_E1,II_Palsa_E2,III_Palsa_C1,III_Palsa_C2,III_Palsa_N1,III_Palsa_N2,III_Palsa_E1,III_Palsa_E2,IV_Palsa_F1,IV_Palsa_F2
Glutamine,C5H10N2O3,C00064,146.1445,41.07,67.266,0,13.098,0,0,12.765,0,0,0,16.539,18.093,21.645,22.089,0,0,12.654,19.647,31.413,46.287,31.635,24.309,40.959,27.306
Glycerol,C3H8O3,C00116,92.0938,310.689,341.436,94.239,87.024,94.017,195.582,337.44,143.301,502.053,66.6,62.16,88.245,104.562,124.764,73.482,50.727,87.579,170.274,104.451,146.187,90.465,83.028,170.94,129.537
Isoleucine,C6H13NO2,C00407,131.1729,48.729,127.428,37.518,2.886,0,0,2.664,2.664,3.108,0,2.331,2.775,4.773,3.219,2.664,1.665,1.776,2.22,3.885,6.105,2.664,1.665,3.552,1.998
Lactate,C3H6O3,C00186,90.0779,3.885,0,0,4.551,0,2.886,4.44,6.66,5.439,3.33,2.997,4.773,8.769,7.326,5.772,2.886,6.105,2.997,4.107,3.552,6.105,5.439,5.217,4.551
Leucine,C6H13NO2,C00123,131.1729,56.055,172.605,52.836,3.663,0,0,4.995,7.548,4.44,0,0,2.886,4.662,4.44,0,0,3.108,2.442,4.218,4.329,2.442,0,3.885,3.441
Mannitol,C6H14O6,C00392,182.1718,136.974,0,0,177.822,108.003,136.641,147.408,112.665,66.378,85.359,98.013,141.747,109.335,91.686,11.988,44.622,96.126,142.524,41.403,117.549,71.262,52.503,176.934,170.052
Methanol,CH4O,C00132,32.0419,19.536,61.272,40.959,9.879,10.323,10.323,14.652,15.984,9.546,9.213,17.76,10.101,24.309,22.755,11.433,6.438,9.879,13.986,10.212,55.833,15.762,15.096,8.325,9.213
O-Acetylcholine,C7H16NO2,C01996,146.2074,3.219,5.55,4.884,1.665,2.553,1.11,1.665,1.332,2.553,2.109,3.441,2.664,2.997,4.995,2.331,1.332,2.664,1.443,2.997,1.998,1.665,0.999,3.33,2.331
O-Phosphocholine,C5H15NO4P,C00588,184.1507,12.432,6.327,5.106,6.438,4.107,7.77,18.315,15.54,14.874,15.318,9.435,6.771,19.98,9.324,16.095,10.545,5.772,5.217,7.326,8.103,7.881,8.214,7.77,11.877
Phenylalanine,C9H11NO2,C00079,165.1891,51.393,128.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proline,C5H9NO2,C00148,115.1305,0,196.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionate,C3H6O2,C00163,74.0785,0,12.543,0,2.886,4.995,2.22,4.551,2.442,4.773,1.887,10.212,3.108,3.885,8.991,4.662,5.217,3.996,3.774,3.885,5.772,2.664,3.108,2.553,5.217
Protocatechuate,C7H6O4,C00230,154.1201,23.976,0,0,10.656,16.65,11.211,20.202,11.655,17.427,10.545,19.869,10.656,19.536,22.755,18.426,18.537,8.658,12.543,11.988,19.98,12.321,20.535,5.328,13.875
Pyroglutamate,C5H7NO3,C01879,129.114,29.415,64.38,0,11.655,0,0,0,0,0,0,14.541,10.767,14.208,12.987,0,0,0,0,9.102,15.54,13.209,0,13.653,11.211
Pyruvate,C3H4O3,C00022,88.0621,4.995,0,0,4.995,5.883,4.551,5.439,2.997,5.439,6.216,7.548,8.769,6.327,4.218,6.327,4.44,5.439,4.884,3.996,2.553,1.998,2.553,5.439,5.994
Quinone,C6H4O2,C00472,108.0948,29.859,7.659,0,10.212,13.875,15.762,7.881,4.44,0,15.762,0,0,7.215,6.993,9.324,14.874,13.209,0,0,18.426,8.103,0,6.882,0
Sucrose,C12H22O11,C00089,342.2965,690.642,698.523,180.486,115.995,208.68,68.598,54.39,16.65,100.344,29.637,209.235,84.693,28.083,114.885,49.173,75.147,49.173,52.503,65.157,13.875,13.764,0,54.834,0
Threonine,C4H9NO3,C00188,119.1192,47.952,108.003,21.312,3.774,0,2.109,3.774,3.219,5.328,0,4.551,3.774,4.662,10.545,2.553,2.22,4.773,2.886,4.773,5.883,4.218,3.33,7.104,2.331
Trehalose,C12H22O11,C01083,342.2965,28.638,0.111,0,36.963,50.838,76.368,64.713,48.063,45.732,58.053,69.708,125.541,30.858,40.626,20.313,31.302,86.469,18.093,49.395,24.642,25.752,7.326,58.608,41.514
Trigonelline,C7H7NO2,C01004,137.136,70.485,47.73,23.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan,C11H12N2O2,C00078,204.2252,26.862,61.716,20.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrosine,C9H11NO3,C00082,181.1885,41.736,74.592,0,0,1.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uridine,C9H12N2O6,C00299,244.2014,42.846,145.41,24.42,2.997,0,0,1.887,3.885,4.884,0,0,0,0,0,0,0,0,2.442,0,2.331,0,0,2.886,3.663
