IncDay	Incubation	Type	Habitat	Group	SampleDay	Prod12CO2.ug.day	Prod13CO2.ug.day	TotalCO2.ug.day	Prod12CH4.ug.day	Prod13CH4.ug.day	TotalCH4.ug.day	gCLit	gCPeat
I_Palsa_N1_d3	I_Palsa_N1	Natural	Palsa	One	3	2855.92691264394	35.1443956006034	2891.07130824454	0	0	0	0.2581	2.88
I_Palsa_N1_d5	I_Palsa_N1	Natural	Palsa	One	5	2398.63427579253	30.0697033956251	2428.70397918815	0	0	0.172630416802533	0.2581	2.88
I_Palsa_N2_d1	I_Palsa_N2	Natural	Palsa	One	1	6445.23836191445	75.0911271927387	6520.32948910719	0	0	0	0.2581	2.88
I_Palsa_N2_d3	I_Palsa_N2	Natural	Palsa	One	3	2418.0902255894	29.9469046563011	2448.0371302457	0	0	0	0.2581	2.88
I_Palsa_N2_d5	I_Palsa_N2	Natural	Palsa	One	5	2276.65065376021	28.5334767346712	2305.18413049488	0	0	0.00258741008589863	0.2581	2.88
I_Palsa_N3_d1	I_Palsa_N3	Natural	Palsa	One	1	5892.77902016017	69.0483210472634	5961.82734120743	0	0	0	0.2581	2.88
I_Palsa_N3_d3	I_Palsa_N3	Natural	Palsa	One	3	2429.8101315331	30.3664912071341	2460.17662274023	0	0	0	0.2581	2.88
I_Palsa_N3_d5	I_Palsa_N3	Natural	Palsa	One	5	2330.30281698006	29.2335059308111	2359.53632291087	0	0	0	0.2581	2.88
II_Bog_C1_d1	II_Bog_C1	Control	Bog	Two	1	1080.31251881577	5.61042982828266	1085.92294864406	0	0	0	0	1.71
II_Bog_C1_d10	II_Bog_C1	Control	Bog	Two	10	639.303757038291	7.62315157316675	646.926908611458	0	0	0	0	1.71
II_Bog_C1_d15	II_Bog_C1	Control	Bog	Two	15	560.240950585188	6.62810767093888	566.869058256126	0	0	0	0	1.71
II_Bog_C1_d5	II_Bog_C1	Control	Bog	Two	5	502.074199917571	5.92895813407076	508.003158051642	0	0	0	0	1.71
II_Bog_C2_d1	II_Bog_C2	Control	Bog	Two	1	1132.20296757544	6.94183879640571	1139.14480637185	0	0	0	0	1.71
II_Bog_C2_d10	II_Bog_C2	Control	Bog	Two	10	581.22763753716	6.89473933221521	588.122376869375	0	0	0.0460009578678009	0	1.71
II_Bog_C2_d15	II_Bog_C2	Control	Bog	Two	15	563.959348999808	6.68730646937016	570.646655469178	0	0	0.0134298079207348	0	1.71
II_Bog_C2_d5	II_Bog_C2	Control	Bog	Two	5	580.957764095186	6.91999161268375	587.87775570787	0	0	0.20722550113549	0	1.71
II_Bog_C3_d1	II_Bog_C3	Control	Bog	Two	1	870.105822814988	4.47537489282201	874.58119770781	0	0	0	0	1.71
II_Bog_C3_d10	II_Bog_C3	Control	Bog	Two	10	438.804958536432	5.11123985088317	443.916198387316	0	0	0	0	1.71
II_Bog_C3_d15	II_Bog_C3	Control	Bog	Two	15	404.279086835869	4.68076875512694	408.959855590996	0	0	0	0	1.71
II_Bog_C3_d5	II_Bog_C3	Control	Bog	Two	5	433.642386590545	5.07249125412402	438.714877844669	0	0	0.0343522190680803	0	1.71
II_Bog_E1_d1	II_Bog_E1	Enriched	Bog	Two	1	1237.05360629926	157.738853568091	1394.79245986735	0	0	0	0.152184	1.71
II_Bog_E1_d10	II_Bog_E1	Enriched	Bog	Two	10	841.814618880371	238.262244831033	1080.0768637114	7.59604539931733	2.23510095965835	9.83114635897568	0.152184	1.71
II_Bog_E1_d15	II_Bog_E1	Enriched	Bog	Two	15	718.206815187379	165.991194223316	884.198009410695	3.8173077643256	0.668511357296852	4.48581912162245	0.152184	1.71
II_Bog_E1_d5	II_Bog_E1	Enriched	Bog	Two	5	945.289309566198	369.709234143549	1314.99854370975	3.30313477312938	1.03668689969714	4.33982167282652	0.152184	1.71
II_Bog_E2_d1	II_Bog_E2	Enriched	Bog	Two	1	1093.30933699609	150.941569408287	1244.25090640438	0	0	0	0.152184	1.71
II_Bog_E2_d10	II_Bog_E2	Enriched	Bog	Two	10	923.241583147177	245.886260112017	1169.12784325919	8.21102160005592	2.2579456816937	10.4689672817496	0.152184	1.71
II_Bog_E2_d15	II_Bog_E2	Enriched	Bog	Two	15	762.540435047515	155.245119877611	917.785554925126	6.39346193888017	1.07715425811848	7.47061619699865	0.152184	1.71
II_Bog_E2_d5	II_Bog_E2	Enriched	Bog	Two	5	892.031930771653	325.475039719702	1217.50697049136	3.0348590841229	0.905863505783635	3.94072258990653	0.152184	1.71
II_Bog_E3_d1	II_Bog_E3	Enriched	Bog	Two	1	1094.77178984783	187.926206074425	1282.69799592226	0	0	0	0.152184	1.71
II_Bog_E3_d10	II_Bog_E3	Enriched	Bog	Two	10	757.655712280586	234.130126805722	991.785839086308	8.01276152153529	2.48137785027262	10.4941393718079	0.152184	1.71
II_Bog_E3_d15	II_Bog_E3	Enriched	Bog	Two	15	613.062048510862	165.008451541804	778.070500052666	0	0	1.22185409275273	0.152184	1.71
II_Bog_E3_d5	II_Bog_E3	Enriched	Bog	Two	5	752.78698197708	315.116238956198	1067.90322093328	3.55146101794706	1.18929935958935	4.7407603775364	0.152184	1.71
II_Bog_N1_d1	II_Bog_N1	Natural	Bog	Two	1	1528.43189832709	9.8353111467596	1538.26720947385	0	0	0	0.152184	1.71
II_Bog_N1_d10	II_Bog_N1	Natural	Bog	Two	10	1277.88193132566	15.7882745813969	1293.67020590706	4.53195747226358	0.0476398860092328	4.57959735827282	0.152184	1.71
II_Bog_N1_d15	II_Bog_N1	Natural	Bog	Two	15	1137.30560286149	14.010882535675	1151.31648539717	0	0	0.859312085185234	0.152184	1.71
II_Bog_N1_d5	II_Bog_N1	Natural	Bog	Two	5	1460.94957992791	18.1495580404073	1479.09913796832	5.89656193386579	0.0621257258609813	5.95868765972677	0.152184	1.71
II_Bog_N2_d1	II_Bog_N2	Natural	Bog	Two	1	1239.7016571756	7.57402478158662	1247.27568195718	0	0	0	0.152184	1.71
II_Bog_N2_d10	II_Bog_N2	Natural	Bog	Two	10	1066.58854174243	13.1473278226406	1079.73586956507	5.69002807503588	0.059670927543443	5.74969900257932	0.152184	1.71
II_Bog_N2_d15	II_Bog_N2	Natural	Bog	Two	15	918.117805510884	11.2622275360213	929.380033046905	0	0	1.10111463680996	0.152184	1.71
II_Bog_N2_d5	II_Bog_N2	Natural	Bog	Two	5	1226.46367251262	15.2144673238536	1241.67813983647	5.8000162327498	0.0612414842891223	5.86125771703892	0.152184	1.71
II_Bog_N3_d1	II_Bog_N3	Natural	Bog	Two	1	1146.94322332712	7.23265943183427	1154.17588275895	0	0	0	0.152184	1.71
II_Bog_N3_d10	II_Bog_N3	Natural	Bog	Two	10	1044.29027824134	12.8660179589582	1057.1562962003	8.34530815977011	0.0874913450047613	8.43279950477487	0.152184	1.71
II_Bog_N3_d15	II_Bog_N3	Natural	Bog	Two	15	828.299539872594	10.1248511483136	838.424391020907	1.50424057253127	0.0159736470228026	1.52021421955407	0.152184	1.71
II_Bog_N3_d5	II_Bog_N3	Natural	Bog	Two	5	1288.84901867169	15.9973588199731	1304.84637749166	7.08479084897984	0.0750022718528043	7.15979312083265	0.152184	1.71
II_Fen_C1_d1	II_Fen_C1	Control	Fen	Two	1	2297.10559978404	19.6688420801554	2316.77444186419	0	0	0.568377174771018	0	2.92
II_Fen_C1_d10	II_Fen_C1	Control	Fen	Two	10	1447.76586097428	17.7547718720778	1465.52063284636	6.11365777105264	0.0643862383317215	6.17804400938436	0	2.92
II_Fen_C1_d15	II_Fen_C1	Control	Fen	Two	15	1451.93963549035	17.8297546365782	1469.76939012693	6.26649183555197	0.066571119936327	6.33306295548829	0	2.92
II_Fen_C1_d5	II_Fen_C1	Control	Fen	Two	5	1331.40015040825	16.3021625472211	1347.70231295547	3.08743423539843	0.0326979284692697	3.1201321638677	0	2.92
II_Fen_C2_d1	II_Fen_C2	Control	Fen	Two	1	1507.90251556116	11.5638720451328	1519.46638760629	0	0	1.63791380516607	0	2.92
II_Fen_C2_d10	II_Fen_C2	Control	Fen	Two	10	1099.25489088073	13.4059833451985	1112.66087422593	0	0	0.989045599524301	0	2.92
II_Fen_C2_d15	II_Fen_C2	Control	Fen	Two	15	1047.80308871751	12.7787601848474	1060.58184890236	0	0	0.519260529748665	0	2.92
II_Fen_C2_d5	II_Fen_C2	Control	Fen	Two	5	1032.14542186002	12.5781613664184	1044.72358322644	0	0	0.542634322733196	0	2.92
II_Fen_C3_d1	II_Fen_C3	Control	Fen	Two	1	1512.58146776884	12.7758930998449	1525.35736086868	0	0	0.322574970875734	0	2.92
