"JarDay"	"Jar"	"Type"	"Habitat"	"Group"	"SampleDay"	"Lab12CO2"	"Lab13CO2"	"LabCH4Tot"	"LabCO2Tot"	"Lab13CH4"	"Lab12CH4"	"HabDay"	"UnlCO2Tot"	"Unl13CO2"	"Unl12CO2"	"ContCO2Tot"	"Cont13CO2"	"Cont12CO2"	"UnlCH4Tot"	"Unl13CH4"	"Unl12CH4"	"ContCH4Tot"	"Cont13CH4"	"Cont12CH4"	"RELitter"	"RNLitter"	"RSoil"	"CSoil"	"CLitter"	"R13CO2Soil"	"R13CO2Inc"	"RInc"	"ASoilCO2"	"AIncCO2"	"ALitterCO2"	"RFluxCO2"	"NLitterCO2"	"R13CH4Inc"	"RCH4Flux"	"NLitterCH4"	"AIncCH4"	"RFluxCH4"	"FluxLitCH4"	"FluxLitCO2"	"FluxSoilCO2"	"FluxPrimCO2"	"BaseSoilCO2"	"LitPerContCO2"	"FluxSoilCH4"	"FluxPrimCH4"	"BaseSoilCH4"	"LitPerContCH4"	"gCLit"	"gCPeat"
"II_Palsa_E3_d5"	"II_Palsa_E3"	"Enriched"	"Palsa"	"Two"	5	1291.68837382694	875.999407327049	0.111431819524531	2167.68778115399	0	0	"Palsa5"	2188.86345116082	27.0814977003773	2161.78195346045	480.622270844486	5.57531256628591	475.0469582782	0.0526604836886279	0	0	0	0	0	0.523568363	0.01104382463	0.010752	1.381918	0.27405	0.0116001960468659	0.0123724016160145	0.0108002947374898	1.07888728114452	1.14556147926849	0.0666741981239714	0.404116965064362	1460.71995568159	0	0	NA	0	0	NA	1445.64059020693	722.047190947059	241.424920102573	480.622270844486	300.785185769032	NA	NA	NA	NA	0.2581	2.88
"III_Bog_E1_d1"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	1	974.232525839083	187.361477920869	0	1161.59400375995	0	0	"Bog1"	1368.21999804066	9.03881295403389	1359.18118508662	964.000408293145	4.4877396977686	959.512668595376	0.0026107686491741	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.00465532966496827	0.00660625701055226	0.0108008834473667	0.432093268451375	0.611640431335537	0.179547162884162	0.161296870777915	1585.29553500172	0	NA	NA	0	NA	NA	1161.59400375995	0	-964.000408293145	964.000408293145	120.497252259122	NA	NA	NA	NA	0.152184	1.71
"III_Bog_E1_d10"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	10	610.642443936378	210.909830433249	7.37013862283017	821.552274369627	1.75245679078586	5.61768183204431	"Bog10"	1003.16381142643	12.1782868363591	990.985524590073	490.269756016493	5.67544713155307	484.59430888494	6.71284433403643	0.0697440808652456	6.64310025317119	0.0208669414039957	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011576172223363	0.0121398785498874	0.0108008834473667	1.07446442080983	1.12397088710805	0.0495064662982228	0.256721132681519	1002.06857905039	0.0103896466824978	0.237777995838145	7.2843310591691	0.961925636280314	0.237777995838145	7.37013862283017	820.653256491767	0.899017877859023	-489.370738138634	490.269756016493	167.388105511481	0	-0.0208669414039957	0.0208669414039957	35319.6881140371	0.152184	1.71
"III_Bog_E1_d15"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	15	504.343745982527	141.629278508922	2.20827104680748	645.973024491449	0.548392730191347	1.65987831661613	"Bog15"	834.821952736146	10.0730936546762	824.74885908147	462.671372894847	5.33927505759772	457.332097837249	1.72822348952695	0.0133387417660458	1.25061143469739	0.0031325050791669	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0115401024796302	0.0120661580851599	0.0108008834473667	1.0711165390091	1.11714547647504	0.0460289374659342	0.219249524576389	710.982567506592	0.00771818103785689	0.248335787848219	2.67133291121777	0.714587938613354	0.248335787848219	2.20827104680748	549.940781382255	96.032243109194	-366.639129785653	462.671372894847	118.862072217994	0	-0.0031325050791669	0.0031325050791669	70495.3700312842	0.152184	1.71
"III_Bog_E1_d20"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	20	513.48944228088	129.691352281568	0.405063214638776	643.180794562448	0	0	"Bog20"	720.170575937319	8.61602528060588	711.554550656713	417.174038350491	4.77258846530362	412.401449885187	0.0619004774397864	0	0	0.00187498230386655	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0114402815769036	0.0119638674065403	0.0108008834473667	1.06185147225273	1.10767489204387	0.04582341979114	0.201640585940996	566.434009674008	0	0	NA	0	0	NA	505.581499456705	137.599295105743	-279.574743244748	417.174038350491	121.19198535359	NA	NA	NA	NA	0.152184	1.71
"III_Bog_E1_d25"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	25	527.775963034211	128.316903772939	0.0267982869971288	656.09286680715	0	0	"Bog25"	699.776955062145	8.35195955987919	691.424995502265	410.316384702938	4.66619988451522	405.650184818423	0.0491354538637431	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011372199742629	0.0119351737713876	0.0108008834473667	1.05553232744215	1.10501829128592	0.0494859638437679	0.195577349281951	534.236830941035	0	0	NA	0	0	NA	500.523724725013	155.569142082137	-254.747242620801	410.316384702938	121.984825219052	NA	NA	NA	NA	0.152184	1.71
"III_Bog_E1_d30"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	30	493.202100329218	112.382697747823	0.186656877025763	605.584798077041	0	0	"Bog30"	683.535165375798	8.13635853940016	675.398806836398	417.488354786134	4.75187927220381	412.73647551393	0.0559770086095796	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0113820642365894	0.0119033503344731	0.0108008834473667	1.05644791919262	1.10207191777217	0.0456239985795452	0.185577144777544	494.881517582749	0	0	NA	0	0	NA	438.082304498883	167.502493578157	-249.985861207976	417.488354786134	104.932820155738	NA	NA	NA	NA	0.152184	1.71
"III_Bog_E1_d35"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	35	468.851985760891	101.864383241791	0.123051347976681	570.716369002682	0	0	"Bog35"	622.19017553702	7.36404470675201	614.826130830268	381.619779610534	4.32258514889291	377.297194461641	0.049458002032622	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011326942102698	0.0118356814303537	0.0108008834473667	1.05133165359787	1.09580679099349	0.0444751373956283	0.178485126368107	434.759045630861	0	0	NA	0	0	NA	398.425019512124	172.291349490558	-209.328430119976	381.619779610534	104.40366060657	NA	NA	NA	NA	0.152184	1.71
"III_Bog_E1_d40"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	40	458.853732461616	97.6331150447235	0.0418078929080206	556.486847506339	0	0	"Bog40"	583.794732736317	6.89696668471322	576.897766051604	415.787565537307	4.73875297798692	411.04881255932	0.0326809619681267	0	0	0	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.0113970531366497	0.0118140269138543	0.0108008834473667	1.05783914243215	1.09380190717034	0.0359627647381908	0.175445503307446	401.227495234399	0	0	NA	0	0	NA	382.154930019984	174.331917486355	-241.455648050952	415.787565537307	91.9111011716137	NA	NA	NA	NA	0.152184	1.71
"III_Bog_E1_d5"	"III_Bog_E1"	"Enriched"	"Bog"	"Three"	5	643.436719811565	289.606927946371	3.64625850630034	933.043647757936	0.964678234567663	2.68158027173268	"Bog5"	1194.04242662503	14.5886076289433	1179.45381899609	470.644974015633	5.45880069140187	465.186173324232	5.16298654620616	0.0489551318908975	4.63935823509392	0.0404393239717864	0	0	0.228643884	0.01094193629	0.0107739	0.781128	0.14943	0.011598553034204	0.0122178302074057	0.0108008834473667	1.07654173829384	1.1311880428063	0.0546463045124588	0.310389474964311	1444.17124039172	0.00948194062734299	0.264566605165488	6.8865829194671	0.877885653849426	0.264566605165488	3.64625850630034	933.043647757936	0	-470.644974015633	470.644974015633	198.247872445557	0	-0.0404393239717864	0.0404393239717864	9016.61587825813	0.152184	1.71
