FeatureID,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_E2,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N1,III_Palsa_N2,Palsa_T0,PNC,PNE
MW_440.06263@RT_10.175,0,24909357.282503,1454684.3203664,1775196.29174987,0,16711197.4813513,4426685.09810071,5649522.64464777,5947932.88226941,84014742.3467077,4678400.80002193,12977384.7240623,0,71815145.789599,2817988.06377367,35256629.7247377,61590470.2332417,74151877.5050023,24111487.3810759,0,0
MW_704.27536@RT_17.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287922.107712176,0,0,0,58214932.6835826,11143031.8139175
MW_328.15226@RT_19.703,0,0,0,0,0,0,460373.815162665,0,0,0,20092.6461660688,14394081.5722701,0,0,0,0,59514271.7984557,68373.9032428298,122021.770026931,0,0
MW_798.36968@RT_32.841,0,0,225294.88556412,407889.964053187,293981.435032063,486255.575408844,25646.1811588977,0,0,0,71784.7768650685,568898.644994718,0,0,67369.2310528365,51177.1491870489,205255.687675194,33338.4994285855,65316.9676152349,48859984.51057,27276103.9623933
MW_966.47094@RT_33.014,18560.2987284066,141137.323137187,0,0,0,0,1800443.50258121,0,0,0,89415.5058409552,8036400.14696602,96349.1330340248,0,0,0,1892817.61427195,788394.850988025,607245.270283683,0,0
MW_504.34546@RT_38.960,4326851.41848895,5573456.59953164,5041642.77276737,5545448.99053829,5647666.33668856,2083775.10239031,100459369.650857,7493919.20677569,7439346.37096791,8439147.96261492,5805357.20681425,32286655.2803672,11557248.392112,3198618.2558692,6553958.06272686,26885051.6385662,68088007.4851964,81235759.2903313,4419533.43380002,0,0
MW_1062.28961@RT_14.919,18476.6724090447,0,0,806755.043239166,0,0,0,0,0,0,18260.7703005912,0,0,0,0,0,218890.504785516,0,0,86485523.651697,23084697.8889935
MW_568.21614@RT_24.591,54862984.3779694,4148931.85627713,651716.53211262,720646.474397948,29620022.531843,5757354.28594946,3329010.86446958,1408679.91862664,1602684.64402435,37893684.1951317,1421274.77932042,14540813.7573541,3459841.29309066,27282430.204889,0,4504940.40499306,0,19725720.1638331,6545558.11696132,741495.375943311,0
MW_500.27545@RT_47.106,93771.1106521649,123785.292769042,212417.582149119,119437.042023801,0,366691.950371565,100016.136849684,226865.308874537,0,6341.42517823469,285939.030930751,170773.16520205,0,132418.654340028,3886.59325663972,0,0,130427.884947248,133326.380889526,57934214.384666,49475426.22494
MW_466.11137@RT_18.779,1205579.74708044,1615762.28005794,304413.387936642,305024.838425817,1228598.54443749,638047.664234182,1570462.0870832,1224907.24392334,858543.444347065,1428724.60700537,1073279.68364043,50926599.9666831,899225.633925885,1007511.18874106,2106096.94965921,1440565.53951142,29317209.5478713,11448299.2735697,2316348.21819304,7885584.34376672,1272367.29730738
MW_580.31029@RT_35.150,0,55723238.0861797,1652591.84656534,0,0,0,0,0,0,2964578.37944578,1203286.94109969,99456.5449091937,0,0,2221135.57331907,1444713.92247275,274904.31936157,536025.063563551,7366.75213231769,63106.5512924689,0
MW_514.26306@RT_33.218,0,0,45160.9124052073,0,153051.768611403,69271.0330619993,1315839.86955524,546833.054785088,63435.6274958573,0,960922.142134998,88911.7581168645,1021590.96050306,0,541845.537697302,0,0,0,311699.28576342,52096470.1314739,483467.056183162
MW_580.15856@RT_13.643,316444.481553258,41249761.1875856,0,100361.572298827,0,0,409299.462663574,13818.7676464242,120519.803735371,153379.989600857,906321.073881533,27657603.9198316,0,129468.188358978,7076839.31832228,443829.996030978,42320642.8884879,23514447.8195771,1326087.64057506,56256586.0436594,49196225.4185622
MW_780.11969@RT_20.574,21350844.9842993,23266894.5033764,11902219.9747104,10205690.547032,25409085.9727306,12147895.885162,24303636.7129689,16920961.2500095,24822212.0113252,24180783.9942432,39574593.6008965,56855641.2973508,63242312.0746168,26243300.9230934,71146024.6236936,34248490.1278638,45250854.0819882,80422689.3833235,32502052.0680168,0,0
MW_712.40525@RT_35.600,0,0,0,0,0,0,56316.6500719054,0,0,0,0,0,0,0,0,0,57599.4996106912,68445.2651685936,0,0,0
