FeatureID,SampleID,Labeling Status,Rel. Exchange [%],Label
MW_728.40027@RT_31.525,III_Palsa_C2,Not detected,NA,Not_detected
MW_728.40027@RT_31.525,III_Palsa_E1,No warnings,0.460277394,Non_labeled
MW_728.40027@RT_31.525,III_Palsa_E2,No warnings,0.168972822,Non_labeled
MW_728.40027@RT_31.525,III_Palsa_N1,No warnings,0.144072465,Non_labeled
MW_728.40027@RT_31.525,III_Palsa_N2,No warnings,6.35E-04,Non_labeled
MW_728.40027@RT_31.525,Palsa_T0,No warnings,0.02193459,Non_labeled
MW_728.40027@RT_31.525,PNC,Not detected,NA,Not_detected
MW_728.40027@RT_31.525,PNE,No warnings,59.89397341,Labeled
MW_884.21877@RT_13.725,I_Palsa_C1,Contaminating mass,39.36953372,Non_labeled
MW_884.21877@RT_13.725,I_Palsa_C2,Contaminating mass,4.788498214,Non_labeled
MW_884.21877@RT_13.725,I_Palsa_E1,Not detected,NA,Not_detected
MW_884.21877@RT_13.725,I_Palsa_E2,Not detected,NA,Not_detected
MW_884.21877@RT_13.725,I_Palsa_N1,Contaminating mass,95.99684382,Non_labeled
MW_884.21877@RT_13.725,I_Palsa_N2,Not detected,NA,Not_detected
MW_884.21877@RT_13.725,II_Palsa_C1,No warnings,0,Non_labeled
MW_884.21877@RT_13.725,II_Palsa_C2,Contaminating mass,51.92253196,Non_labeled
MW_884.21877@RT_13.725,II_Palsa_E1,Irregular exchange,18.1016124,Labeled
MW_884.21877@RT_13.725,II_Palsa_E2,Irregular exchange,7.072585369,Non_labeled
MW_884.21877@RT_13.725,II_Palsa_N1,Contaminating mass,2.490770309,Non_labeled
MW_884.21877@RT_13.725,II_Palsa_N2,Contaminating mass,1.505962196,Non_labeled
MW_884.21877@RT_13.725,III_Palsa_C1,No warnings,0,Non_labeled
MW_884.21877@RT_13.725,III_Palsa_C2,Contaminating mass,3.975386789,Non_labeled
MW_884.21877@RT_13.725,III_Palsa_E1,No warnings,1.304470594,Non_labeled
MW_884.21877@RT_13.725,III_Palsa_E2,No warnings,2.098688756,Non_labeled
