FeatureID,comp1,contrib,mol_class,dataset,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_E2,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N1,III_Palsa_N2,Palsa_T0,PNC,PNE
MW_902.34812@RT_29.767,0.16119651579636296,PO,No annotation,LC-MS/MS,14.317343241150347,14.161253046589596,14.565654065931122,13.875057398905275,13.653901897031039,13.400821739690368,13.460198164845776,14.59865038794068,14.554992029834441,13.993889369549134,14.666404110849541,13.298572854314012,14.846321827664088,14.316363063733567,12.807875992317422,12.585854399644663,12.24860529688858,10.137829158954805,13.991759436443763,9.301551641547647,8.628418769245949
MW_448.15836@RT_16.252,0.14233167683968911,PO,"Benzene and
substituted derivatives",LC-MS/MS,18.5353579598065,17.9295015449985,16.071923345344082,15.28160285740813,16.180704304823294,15.533104336830766,15.478401971837304,16.371727827948543,15.70931896988301,16.373870191488027,15.749409990325002,15.171618197070387,16.429733798976173,18.50112004872315,16.33023318472616,15.57910030970563,14.738631625200624,15.432057339054266,15.61628554733855,12.735898177430673,11.966796502461854
MW_418.32960@RT_42.172,0.14144317718167673,PO,"Carboxylic acids and
derivatives",LC-MS/MS,14.455637060193355,16.595959806290832,14.677583058918891,14.082678040021674,13.67400575425223,13.649484920988558,14.082777856818126,13.638170984897215,14.91086869964463,14.03041197716751,14.673613711678952,12.633528033835207,17.386254502192184,14.38893241152489,13.597881650024279,13.906216530465526,12.073341621580015,12.46888240598012,13.052078579551411,10.246160420473451,11.61083140878097
MW_672.17446@RT_28.644,0.14052355817239634,PO,"Carboxylic acids and
derivatives",LC-MS/MS,9.028491438188295,8.416069834108887,8.166838296143357,6.135288355148138,5.666997562966822,8.896229479932538,7.7151281341307785,6.376999084781552,5.91787751766095,5.712328103115713,7.299606653964791,4.744641146037618,9.28449635306347,6.085604186817989,5.8233470799904055,5.521940255726834,4.235832712990642,4.605246496884237,7.6664681657796425,11.930149705044744,11.368426995803185
MW_416.18697@RT_38.369,0.1272946770733433,PO,"Carboxylic acids and
derivatives",LC-MS/MS,15.867058172953744,15.740031558956776,15.866023390134998,15.10432574503332,15.259834489520037,15.184027591457095,15.086962514053862,16.322033431552384,15.758571369562908,15.503754839719496,15.75969256123938,14.613524025795646,16.7136789795397,16.043286685955042,16.2854685510016,15.18027896840952,13.939248298854174,14.107114098152808,15.516593251319955,9.821824689305542,9.6800227925178
MW_556.44972@RT_49.813,-0.1195315087682919,PL,"Benzene and
substituted derivatives",LC-MS/MS,6.431107595553456,6.407044661365988,8.634887601770002,10.766441343674137,9.622190891421422,9.943527852098208,5.751656571544312,6.7561977418777115,6.290032145200138,9.502936525849238,9.492432065624692,8.60165077262771,8.939825468370122,8.061724067468125,9.477063295051881,8.87908448755416,7.795657218986921,8.731023249001474,8.39618289263826,13.147555308036184,13.995181076313097
MW_1036.76799@RT_44.042,0.11057789891193996,PO,"Carboxylic acids and
derivatives",LC-MS/MS,15.921156297549015,17.01097223072702,16.185776649061275,16.59112681003057,16.07380883539316,15.35315548594957,16.377831387180738,18.069985576814716,16.294304870298667,16.976238376612567,17.68159071750266,15.479349669891242,17.967851092093333,16.088071785367067,14.460243152394808,17.007753058131165,14.086077137701153,15.070271247896553,14.777327871637569,11.813925030939863,13.179629719643629
MW_488.35052@RT_42.408,0.09361074244893575,PO,Prenol lipids,LC-MS/MS,14.294901181582796,14.760552026428952,14.3640419684392,14.409821227320057,13.47218903912338,7.116191307281057,13.259493807860155,14.52488351937241,13.851428145939378,13.583080363129374,13.538088527816592,12.55033940439169,14.617135890252053,13.783941453539676,13.977447077190726,13.389207310814843,11.76054864679023,12.858327712202124,12.654314682439686,8.137212453078838,11.328900148813386
MW_740.29405@RT_32.241,0.07398415973518098,PO,"Carboxylic acids and
derivatives",LC-MS/MS,14.299513609999163,13.98844625652669,14.50640854833116,13.51704984602998,14.130139465844112,13.591042476914158,13.531350691153463,14.494481593750056,14.429990380313523,13.839681623131787,14.211227724003416,13.500669208009215,15.222896872330987,14.557117656142266,7.016967546540333,13.812145776833313,10.985622872436059,12.777656264265826,14.231529588328895,12.521583511066146,9.420177594216131
MW_906.32081@RT_35.721,0.06627807964402281,PO,No annotation,LC-MS/MS,4.531010962994033,4.50969619898177,4.981613895319711,4.601582931229818,4.180410566914422,4.525887366990484,3.9291594084844785,4.818973429811091,4.406047422252566,4.221180005434825,4.230249891088126,3.350868882687108,7.130826089576498,4.556897849397974,4.321028438808548,4.0499488399695895,2.893292746620303,3.2255051999168867,5.353837349438257,11.829864029482826,11.517872124559386
MW_518.32474@RT_36.184,0.040008557897373384,PO,"Carboxylic acids and
derivatives",LC-MS/MS,14.646689523856761,15.562945403591185,13.298811873823393,14.021493810573572,9.427579878896976,9.867842812786868,12.832730282086395,13.052244158295924,12.697397782740685,13.280795649434754,12.445598079465945,11.820361995964538,14.212871155803535,9.907361402212105,9.606778217808335,9.261323976761542,11.37908857348987,12.042261535570741,11.831911417529943,10.977939941489804,10.328439837475655
MW_486.33486@RT_43.484,0.009452779388037002,PO,Prenol lipids,LC-MS/MS,13.720520923910517,14.299048803535282,13.153356091081246,13.287766644514717,12.202481244492711,11.733333036780241,12.233534958041,13.173697008373633,12.608056097164704,12.47651407479105,12.163231403030098,11.357713186017618,13.851669963133972,12.488164535522358,13.236156203184937,12.608887661357508,10.648059020391063,12.39383998849181,11.465566385289105,5.515279353847577,8.284642474184775
MW_462.17404@RT_20.177,0.004775410018449613,PO,Organooxygen compounds,LC-MS/MS,25.676044460934587,25.27622290297641,25.682559377344994,24.33420358202878,24.496526383198518,24.027354497150792,25.393776295767257,26.653377714742,25.14729914269257,25.24910046283745,26.196285761687218,24.43783753269074,26.66707167298716,25.649333473671213,26.713410561133237,24.467777846577214,22.78617592206758,24.291915037848582,25.778551943028564,23.36630027733105,24.991907465591442
"D-Glucurono-6,3-lactone",0.6289689452219778,PO,NMR,NMR,6.415441654036326,6.257060440035303,6.316149025454157,5.382169738167586,5.342002358498472,5.495467378619663,6.451300674846412,6.845587732344072,6.208343263016712,5.956137904361444,5.727872452492022,5.47488535562489,5.950945783196538,5.972250512728217,4.822235440698983,5.79545261151462,4.2578168303371315,4.469927422616376,6.236758969490767,0.49977990703576486,1.8658328333773375
Galactose,0.6016664412289974,PO,NMR,NMR,7.623402841144841,7.569746332622617,7.579060511103906,6.686161285293206,5.673924265683314,6.3444143032724964,7.897633672727057,8.31707238860522,7.216310437959754,7.152027496974309,6.824002834077347,6.476012011098584,8.024205363629047,7.227729968301784,6.327235521317716,7.376407525012693,6.220394082573262,5.900723713310095,8.633246194198541,4.367727464306923,6.047539120015114
Pyruvate,0.4287023896016316,PO,NMR,NMR,3.781822661652779,3.4115963778679705,4.228809971907211,3.1127997140624397,3.1127997140624397,2.6963615059061907,3.7088190921076523,4.472416705679351,3.8238615896185957,3.7088190921076523,3.3009316906670376,2.5726740930465932,3.5642401309573226,3.626238958926082,2.078648276273239,3.184587848094432,2.9535570851574837,1.8711936763113077,3.7088190921076523,0.03891577092491702,0.24821471938036657
Trehalose,0.21915509174940925,PO,NMR,NMR,4.9367371690109705,5.288719783391351,5.352013244330936,4.397582883972311,4.729874694122444,4.692663061145865,4.944573402903199,5.946482741939576,4.0211612419777785,4.686119432050746,4.021095052196996,4.107774932851178,5.353941494147048,4.007152877911951,3.991486396350153,3.424399304681472,4.643421006519239,3.5429212757160826,4.7324980736908016,0.016435116828173762,0.010549356437199005
Mannitol,0.09610782054798946,PO,NMR,NMR,5.586775007614519,5.772018887241719,5.6489824415680765,4.694298678762896,5.448413129646395,5.438761023387043,5.204391814252937,5.986332357265967,3.4724219381064856,4.962188686428698,5.165993874444562,4.825274548068476,5.386567436706778,5.907423231696282,4.90312201599083,5.242133996695872,4.418117053287944,4.974586582172316,6.157682105902876,0.1742826151862981,0.9543787740253207
Betaine,-0.036662694729939785,PL,NMR,NMR,4.028347412894693,3.970339789470152,6.738027044718676,5.580818758689902,6.039509810489868,6.195329243269841,3.1916765655149097,4.289323597741367,5.01870280931465,5.446959315964041,5.067305940603578,4.792699772723924,3.8874607948615987,4.332108908120959,4.600512020783216,5.5705573876628405,4.87426514595906,5.009246237166059,4.065814499041999,3.083433052132834,5.781891861752337
