FeatureID,Formula,C,H,N,O,P,S,Name,Calc. MW,name4plot,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC,sample_type,type,time,label_irreg
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,III_Palsa_C2,1711822.93163552,Unlabeled,peat,T3,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,III_Palsa_E1,25022397.9169015,Labeled,peat_and_litter,T3,Labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,III_Palsa_E2,20352237.0612827,Labeled,peat_and_litter,T3,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,III_Palsa_N1,31507201.6772456,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,III_Palsa_N2,55432819.3390959,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0243,C38 H51 N8 O18 P3,38,51,8,18,3,0,NA,1000.25224,Feature0243,1.3421052631578947,0.47368421052631576,-0.1578947368421053,64.8,19,1,-1.1111111111111112,0,-10,Lignin,PNC,137923.635336701,Unlabeled,litter,T0,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,I_Palsa_C2,27663.6546229982,Unlabeled,peat,T1,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,I_Palsa_E1,515270.80303021497,Labeled,peat_and_litter,T1,Labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,I_Palsa_E2,1938269.75158503,Labeled,peat_and_litter,T1,Labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,I_Palsa_N1,810146.882078949,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,I_Palsa_N2,449498.438055145,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,II_Palsa_C1,36823.3870350676,Unlabeled,peat,T2,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,II_Palsa_C2,10892.1902714843,Unlabeled,peat,T2,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,II_Palsa_E1,182852.318137487,Labeled,peat_and_litter,T2,Labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,II_Palsa_E2,96025.7749663191,Labeled,peat_and_litter,T2,Labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,II_Palsa_N1,177555.26121976,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,II_Palsa_N2,128401.942325844,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,III_Palsa_N1,118142.203557004,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,III_Palsa_N2,187433.135972695,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,PNC,100348274.401499,Unlabeled,litter,T0,Non_labeled
Feature0242,C56 H85 N6 O4 P3,56,85,6,4,3,0,NA,998.5853,Feature0242,1.5178571428571428,0.07142857142857142,-1.3214285714285712,97.96071428571427,19,15,0.13953488372093023,0.17777777777777778,6,Lipid,PNE,154559949.614771,Labeled,litter,T0,Labeled
Feature0241,C53 H79 N10 O7 P,53,79,10,7,1,0,NA,998.5853,Feature0241,1.490566037735849,0.1320754716981132,-0.7547169811320753,81.80943396226414,20,13,0.05714285714285714,0.14285714285714285,2,Lignin,I_Palsa_E2,1938269.75158503,Labeled,peat_and_litter,T1,Labeled
Feature0241,C53 H79 N10 O7 P,53,79,10,7,1,0,NA,998.5853,Feature0241,1.490566037735849,0.1320754716981132,-0.7547169811320753,81.80943396226414,20,13,0.05714285714285714,0.14285714285714285,2,Lignin,PNC,28235173.8552879,Unlabeled,litter,T0,Not_detected
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,I_Palsa_C2,153453.131465164,Unlabeled,peat,T1,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,I_Palsa_N1,42423.0263283628,Unlabeled,peat_and_litter,T1,Non_labeled
