Weight,PNC,PNE,I_Palsa_E2,III_Palsa_N1,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N2,all
658.46675,37019742.5837385,25786129.1830887,1228758.6434635,388991.926007335,65279.4594332786,NA,NA,377366.437710494,225262.023601254,NA,21449.8548677172,NA,NA,174846.732071076,232252.315185592,637435.99804546,147142.433942063,327983.532964598,91392.9103674227,355425.825673964,1
642.21706,88230094.2114755,27861729.9211578,102073.356664105,639558.446336457,NA,408459.003477857,NA,NA,105502.382844471,NA,NA,57224.2295799844,NA,287777.239450474,56246.7195322545,NA,57160.6750363979,4070218.02081961,381760.450366264,1963464.69737315,1
632.50231,28683129.8508421,43307808.906039,344283.283353086,82449.4158791673,22491.0707845205,NA,NA,439821.107342656,104694.006116104,NA,11159.6499739471,28063.9355101103,NA,259960.567403296,72830.5331077554,37278.8514105382,42855.0057451149,NA,NA,116532.104739166,1
630.25355,123260.828537989,NA,3004578.49189247,185948.893252045,269846728.48967,11021121.6746452,2985012.05426981,81360127.5718994,30047875.6052497,10109349.3840817,6976699.72654186,10214394.0425449,126810814.60156,8269330.90925639,9977673.34596794,27469764.1296494,107930125.585643,8036295.17367384,25105519.0240229,62491418.2477446,1
628.23775,3686153.45203213,NA,3912726.67531758,12034681.7795559,23915503.2411529,5564105.25754789,4045420.22461348,35293075.7729951,4839274.75770638,5624116.36674581,6024583.82108247,5393374.8837315,14127266.2255771,5182079.1548147,5263567.51358328,6636316.96445883,16588408.1519694,6897395.55825782,9234795.81215576,24122336.76194,1
628.16526,76261.2415803519,NA,266766.100576977,47194300.2866677,781165.036706604,5702971.60292086,176970.171224612,693445.464578004,700847.092315667,2170380.88250789,529260.108914996,51320.0987268714,278393.880246522,545639.544038848,13157879.662549,288751.867165329,291828.003280235,39311.8864179501,68042.2775012086,1651737.63530954,1
626.14937,190076439.42379,192051298.930423,716894.605857423,2597719.0838249,8799416.96186519,169284.152713816,64974.9169939507,5627535.46280533,2068799.6235889,1545285.69393558,36673.7123959902,361736.879451896,4720863.49450908,721815.725264972,828336.270742564,143638.452393511,2516084.24947561,1409588.9889459,270695.331831798,3655848.35271305,1
624.17009,66864435.4586709,749537.711514066,327804.902907393,71619.328644326,3283571.73724053,602177.033452406,264494.780862701,501143.866273836,219340.362280511,488209.70621532,332013.499939423,421199.074167257,335069.043642541,246989.693330316,626071.894033468,1950050.0970407,1101500.26421612,629604.895769927,175516.141506803,974595.484797893,1
620.42949,106537366.109061,37872092.222117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
616.39823,26482626.622778,9578093.25993195,39831.0607669531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33452.4601255881,NA,1
614.45287,27116249.8600151,18902871.4119155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
612.26381,127617020.59017,55524863.6027751,1417868.98374024,30004803.5348465,2278984.21860007,10111325.538154,84226.8735393233,723395.789141006,1497103.3514251,674795.838416183,36984.0325187653,308719.619881543,49610.0583005905,NA,9482876.57950481,NA,NA,NA,NA,NA,1
